CODEGEO,NIVGEO,UNIT_label_fr,UNIT,NA10_HORS_AZ,OBS_VALUE,NA10_HORS_AZ_label,DATASET_VERSION,DATASET_NAME,DATA_DATE,ENTR_INDIVIDUELLE,ENTR_INDIVIDUELLE_label
01,DEP,Nombre de créations d'établissements,NBCRET,ENS,7304,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,BE,534,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,FZ,871,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,GI,2002,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,JZ,256,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,KZ,135,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,LZ,452,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,MN,1491,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,OQ,744,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre de créations d'établissements,NBCRET,RU,819,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,ENS,47380,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,BE,4366,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,FZ,6785,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,GI,13020,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,JZ,1019,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,KZ,1912,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,LZ,1996,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,MN,7606,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,OQ,6403,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'établissements,NBET,RU,4273,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,ENS,41916,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,BE,3554,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,FZ,6515,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,GI,10905,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,JZ,938,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,KZ,1491,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,LZ,1730,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,MN,6834,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,OQ,5858,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
01,DEP,Nombre d'entreprises,NBENT,RU,4091,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
02,DEP,Nombre de créations d'établissements,NBCRET,ENS,3670,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
02,DEP,Nombre de créations d'établissements,NBCRET,BE,287,"Activité économique en 10 postes, hors AZ (NA - A10)",GEO2021REE2020,Demographie des entreprises et des établissements,2020,,
