TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_QUAL,OBS_TYPE,IDBANK,FREQ,TITLE_FR,TITLE_EN,LAST_UPDATE,UNIT_MEASURE,UNIT_MULT,REF_AREA,DECIMALS,DATE,nomflow,cleFlow,INDICATEUR,FORME-VENTE,COICOP2016,PRIX_CONSO,NATURE,MENAGES_IPC,CORRECTION,BASIND,SERIE_ARRETEE,FREQ_label_fr,FREQ_label_en,INDICATEUR_label_fr,INDICATEUR_label_en,FORME-VENTE_label_fr,FORME-VENTE_label_en,COICOP2016_label_fr,COICOP2016_label_en,PRIX_CONSO_label_fr,PRIX_CONSO_label_en,NATURE_label_fr,NATURE_label_en,MENAGES_IPC_label_fr,MENAGES_IPC_label_en,REF_AREA_label_fr,REF_AREA_label_en,UNIT_MEASURE_label_fr,UNIT_MEASURE_label_en,CORRECTION_label_fr,CORRECTION_label_en,BASIND_label_fr,BASIND_label_en,SERIE_ARRETEE_label_fr,SERIE_ARRETEE_label_en,OBS_STATUS_label_fr,OBS_STATUS_label_en,OBS_TYPE_label_fr,OBS_TYPE_label_en,OBS_QUAL_label_fr,OBS_QUAL_label_en
1990-01,66.44,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-01-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-02,66.58,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-02-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-03,66.74,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-03-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-04,67.11,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-04-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-05,67.21,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-05-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-06,67.2,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-06-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-07,67.22,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-07-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-08,67.66,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-08-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-09,68.15,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-09-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1990-10,68.44,A,DEF,A,001763866,M,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,Consumer price index - Base 2015 - All households - Metropolitan France - All items,2025-12-12,SO,0,FM,2,1990-10-01 00:00:00,IPC-2015,M.IPC.SO.00.SO.INDICE.ENSEMBLE.FM.SO.BRUT.2015.FALSE,IPC,SO,00,SO,INDICE,ENSEMBLE,BRUT,2015,FALSE,Mensuelle,Monthly,Indice des prix à la consommation (IPC),Consumer prices index (CPI),Sans objet,Non applicable,00 - Ensemble,00 - All items,Sans objet,Non applicable,Indice,Index,Ensemble des ménages,All households,France métropolitaine,Metropolitan France,sans objet,not applicable,Non corrigé,Uncorrected,2015,2015,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
