TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_QUAL,OBS_TYPE,IDBANK,FREQ,TITLE_FR,TITLE_EN,LAST_UPDATE,UNIT_MEASURE,UNIT_MULT,REF_AREA,DECIMALS,DATE,nomflow,cleFlow,INDICATEUR,NATURE,AGE,CORRECTION,FREQ_label_fr,FREQ_label_en,INDICATEUR_label_fr,INDICATEUR_label_en,NATURE_label_fr,NATURE_label_en,REF_AREA_label_fr,REF_AREA_label_en,AGE_label_fr,AGE_label_en,UNIT_MEASURE_label_fr,UNIT_MEASURE_label_en,CORRECTION_label_fr,CORRECTION_label_en,OBS_STATUS_label_fr,OBS_STATUS_label_en,OBS_TYPE_label_fr,OBS_TYPE_label_en,OBS_QUAL_label_fr,OBS_QUAL_label_en
2012,13.6,A,DEF,A,001742658,A,Taux de pauvreté : Moins de 30 ans - Vendée,Poverty rate: Below 30 years old - Vendée,2018-06-19,POURCENT,0,D85,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D85.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,85 - Vendée,85 - Vendée,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,14.5,A,DEF,A,001742658,A,Taux de pauvreté : Moins de 30 ans - Vendée,Poverty rate: Below 30 years old - Vendée,2018-06-19,POURCENT,0,D85,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D85.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,85 - Vendée,85 - Vendée,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,14.5,A,DEF,A,001742658,A,Taux de pauvreté : Moins de 30 ans - Vendée,Poverty rate: Below 30 years old - Vendée,2018-06-19,POURCENT,0,D85,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D85.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,85 - Vendée,85 - Vendée,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,14.8,A,DEF,A,001742658,A,Taux de pauvreté : Moins de 30 ans - Vendée,Poverty rate: Below 30 years old - Vendée,2018-06-19,POURCENT,0,D85,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D85.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,85 - Vendée,85 - Vendée,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,23.6,A,DEF,A,001742659,A,Taux de pauvreté : Moins de 30 ans - Vienne,Poverty rate: Below 30 years old - Vienne,2018-06-19,POURCENT,0,D86,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D86.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,86 - Vienne,86 - Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,24.9,A,DEF,A,001742659,A,Taux de pauvreté : Moins de 30 ans - Vienne,Poverty rate: Below 30 years old - Vienne,2018-06-19,POURCENT,0,D86,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D86.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,86 - Vienne,86 - Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2014,25.5,A,DEF,A,001742659,A,Taux de pauvreté : Moins de 30 ans - Vienne,Poverty rate: Below 30 years old - Vienne,2018-06-19,POURCENT,0,D86,1,2014-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D86.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,86 - Vienne,86 - Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2015,26.4,A,DEF,A,001742659,A,Taux de pauvreté : Moins de 30 ans - Vienne,Poverty rate: Below 30 years old - Vienne,2018-06-19,POURCENT,0,D86,1,2015-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D86.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,86 - Vienne,86 - Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2012,28.1,A,DEF,A,001742660,A,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,Poverty rate: Below 30 years old - Haute-Vienne,2018-06-19,POURCENT,0,D87,1,2012-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D87.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,87 - Haute-Vienne,87 - Haute-Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
2013,29.3,A,DEF,A,001742660,A,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,Poverty rate: Below 30 years old - Haute-Vienne,2018-06-19,POURCENT,0,D87,1,2013-01-01 00:00:00,TCRED-SALAIRES-REVENUS-TAUX-PAUVRETE-AGE,A.TAUX_PAUVRETE.TAUX.D87.00-29.POURCENT.BRUT,TAUX_PAUVRETE,TAUX,00-29,BRUT,Annuelle,Annual,Taux de pauvreté,Poverty rate,Taux,Rate,87 - Haute-Vienne,87 - Haute-Vienne,Moins de 30 ans,Below 30 years old,%,%,Non corrigé,Uncorrected,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
