TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_QUAL,OBS_TYPE,IDBANK,FREQ,TITLE_FR,TITLE_EN,LAST_UPDATE,UNIT_MEASURE,UNIT_MULT,REF_AREA,DECIMALS,DATE,nomflow,cleFlow,INDICATEUR,NATURE,DEMOGRAPHIE,SEXE,AGE,CORRECTION,SERIE_ARRETEE,FREQ_label_fr,FREQ_label_en,INDICATEUR_label_fr,INDICATEUR_label_en,NATURE_label_fr,NATURE_label_en,DEMOGRAPHIE_label_fr,DEMOGRAPHIE_label_en,REF_AREA_label_fr,REF_AREA_label_en,SEXE_label_fr,SEXE_label_en,AGE_label_fr,AGE_label_en,UNIT_MEASURE_label_fr,UNIT_MEASURE_label_en,CORRECTION_label_fr,CORRECTION_label_en,SERIE_ARRETEE_label_fr,SERIE_ARRETEE_label_en,OBS_STATUS_label_fr,OBS_STATUS_label_en,OBS_TYPE_label_fr,OBS_TYPE_label_en,OBS_QUAL_label_fr,OBS_QUAL_label_en
1994-01,59070,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-01-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-02,59078,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-02-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-03,59090,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-03-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-04,59105,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-04-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-05,59122,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-05-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-06,59145,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-06-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-07,59166,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-07-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-08,59188,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-08-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-09,59207,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-09-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
1994-10,59226,A,DEF,A,001641607,M,Démographie - Population au début du mois - France (inclus Mayotte à partir de 2014),Demography - Population at the beginning of the month - France (including Mayotte since 2014),2025-11-28,INDIVIDUS,3,FE,0,1994-10-01 00:00:00,POPULATION-STRUCTURE,M.POPULATION_DEBUT_MOIS.VALEUR_ABSOLUE.POP-DEB.FE.SO.SO.INDIVIDUS.BRUT.FALSE,POPULATION_DEBUT_MOIS,VALEUR_ABSOLUE,POP-DEB,SO,SO,BRUT,FALSE,Mensuelle,Monthly,Population au début du mois,Population at the beginning of the month,Valeur absolue,Absolute value,Population au début de la période,Population at the beginning of the period,France,France,Sans objet,Not applicable,Sans objet,Not applicable,individus,individuals,Non corrigé,Uncorrected,non,no,Valeur normale,Normal value,Valeur normale,Normal value,Valeur définitive,Final value
