CODEGEO,NIVGEO,UNIT_label_fr,UNIT,INDICS_FILO_DISP,OBS_VALUE,INDICS_FILO_DISP_label,DATASET_VERSION,DATASET_NAME,DATA_DATE,INDICS_FILO_DISP_DET,INDICS_FILO_DISP_DET_label
01,DEP,Nombre de ménages fiscaux,NBMEN,1,258018.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
01,DEP,Nombre de personnes fiscales,NBPERS,1,618263.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
01,DEP,Médiane,MEDIANE,1,23420.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
02,DEP,Nombre de ménages fiscaux,NBMEN,1,221370.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
02,DEP,Nombre de personnes fiscales,NBPERS,1,512838.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
02,DEP,Médiane,MEDIANE,1,19690.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
03,DEP,Nombre de ménages fiscaux,NBMEN,1,157528.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
03,DEP,Nombre de personnes fiscales,NBPERS,1,325813.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
03,DEP,Médiane,MEDIANE,1,20360.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
04,DEP,Nombre de ménages fiscaux,NBMEN,1,73620.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
04,DEP,Nombre de personnes fiscales,NBPERS,1,154535.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
04,DEP,Médiane,MEDIANE,1,20580.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
05,DEP,Nombre de ménages fiscaux,NBMEN,1,63474.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
05,DEP,Nombre de personnes fiscales,NBPERS,1,133391.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
05,DEP,Médiane,MEDIANE,1,20880.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
06,DEP,Nombre de ménages fiscaux,NBMEN,1,520415.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
06,DEP,Nombre de personnes fiscales,NBPERS,1,1099477.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
06,DEP,Médiane,MEDIANE,1,22140.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
07,DEP,Nombre de ménages fiscaux,NBMEN,1,141763.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
07,DEP,Nombre de personnes fiscales,NBPERS,1,311917.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
07,DEP,Médiane,MEDIANE,1,20780.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
08,DEP,Nombre de ménages fiscaux,NBMEN,1,117199.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
08,DEP,Nombre de personnes fiscales,NBPERS,1,261731.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
08,DEP,Médiane,MEDIANE,1,19650.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
09,DEP,Nombre de ménages fiscaux,NBMEN,1,68614.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
09,DEP,Nombre de personnes fiscales,NBPERS,1,143949.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
09,DEP,Médiane,MEDIANE,1,19820.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
10,DEP,Nombre de ménages fiscaux,NBMEN,1,130958.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
10,DEP,Nombre de personnes fiscales,NBPERS,1,288559.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
10,DEP,Médiane,MEDIANE,1,20430.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
11,DEP,Nombre de ménages fiscaux,NBMEN,1,164932.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
11,DEP,Nombre de personnes fiscales,NBPERS,1,351144.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
11,DEP,Médiane,MEDIANE,1,19240.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
12,DEP,Nombre de ménages fiscaux,NBMEN,1,123739.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
12,DEP,Nombre de personnes fiscales,NBPERS,1,263380.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
12,DEP,Médiane,MEDIANE,1,20640.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
13,DEP,Nombre de ménages fiscaux,NBMEN,1,861714.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
13,DEP,Nombre de personnes fiscales,NBPERS,1,1966294.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
13,DEP,Médiane,MEDIANE,1,21360.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
14,DEP,Nombre de ménages fiscaux,NBMEN,1,296318.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
14,DEP,Nombre de personnes fiscales,NBPERS,1,657428.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
14,DEP,Médiane,MEDIANE,1,21490.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
15,DEP,Nombre de ménages fiscaux,NBMEN,1,66369.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
15,DEP,Nombre de personnes fiscales,NBPERS,1,137450.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
15,DEP,Médiane,MEDIANE,1,20510.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
16,DEP,Nombre de ménages fiscaux,NBMEN,1,157396.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
16,DEP,Nombre de personnes fiscales,NBPERS,1,336877.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
16,DEP,Médiane,MEDIANE,1,20640.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
17,DEP,Nombre de ménages fiscaux,NBMEN,1,301130.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
17,DEP,Nombre de personnes fiscales,NBPERS,1,640597.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
17,DEP,Médiane,MEDIANE,1,21280.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
18,DEP,Nombre de ménages fiscaux,NBMEN,1,137807.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
18,DEP,Nombre de personnes fiscales,NBPERS,1,292459.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
18,DEP,Médiane,MEDIANE,1,20880.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
19,DEP,Nombre de ménages fiscaux,NBMEN,1,108743.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
19,DEP,Nombre de personnes fiscales,NBPERS,1,226855.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
19,DEP,Médiane,MEDIANE,1,20960.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
21,DEP,Nombre de ménages fiscaux,NBMEN,1,228254.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
21,DEP,Nombre de personnes fiscales,NBPERS,1,496851.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
21,DEP,Médiane,MEDIANE,1,22400.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
22,DEP,Nombre de ménages fiscaux,NBMEN,1,270017.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
22,DEP,Nombre de personnes fiscales,NBPERS,1,589373.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
22,DEP,Médiane,MEDIANE,1,21230.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
23,DEP,Nombre de ménages fiscaux,NBMEN,1,55157.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
23,DEP,Nombre de personnes fiscales,NBPERS,1,110155.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
23,DEP,Médiane,MEDIANE,1,19380.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
24,DEP,Nombre de ménages fiscaux,NBMEN,1,187347.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
24,DEP,Nombre de personnes fiscales,NBPERS,1,392523.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
24,DEP,Médiane,MEDIANE,1,20140.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
25,DEP,Nombre de ménages fiscaux,NBMEN,1,229276.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
25,DEP,Nombre de personnes fiscales,NBPERS,1,515954.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
25,DEP,Médiane,MEDIANE,1,22590.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
26,DEP,Nombre de ménages fiscaux,NBMEN,1,218956.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
26,DEP,Nombre de personnes fiscales,NBPERS,1,495842.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
26,DEP,Médiane,MEDIANE,1,21100.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
27,DEP,Nombre de ménages fiscaux,NBMEN,1,244122.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
27,DEP,Nombre de personnes fiscales,NBPERS,1,581245.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
27,DEP,Médiane,MEDIANE,1,21700.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
28,DEP,Nombre de ménages fiscaux,NBMEN,1,179176.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
28,DEP,Nombre de personnes fiscales,NBPERS,1,421871.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
28,DEP,Médiane,MEDIANE,1,22070.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
29,DEP,Nombre de ménages fiscaux,NBMEN,1,408279.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
29,DEP,Nombre de personnes fiscales,NBPERS,1,880927.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
29,DEP,Médiane,MEDIANE,1,21690.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
30,DEP,Nombre de ménages fiscaux,NBMEN,1,322726.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
30,DEP,Nombre de personnes fiscales,NBPERS,1,724524.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
30,DEP,Médiane,MEDIANE,1,20020.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
31,DEP,Nombre de ménages fiscaux,NBMEN,1,588418.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
31,DEP,Nombre de personnes fiscales,NBPERS,1,1308776.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
31,DEP,Médiane,MEDIANE,1,23140.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
32,DEP,Nombre de ménages fiscaux,NBMEN,1,84678.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
32,DEP,Nombre de personnes fiscales,NBPERS,1,182203.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
32,DEP,Médiane,MEDIANE,1,20820.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
33,DEP,Nombre de ménages fiscaux,NBMEN,1,697150.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
33,DEP,Nombre de personnes fiscales,NBPERS,1,1556274.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
33,DEP,Médiane,MEDIANE,1,22400.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
34,DEP,Nombre de ménages fiscaux,NBMEN,1,511075.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
34,DEP,Nombre de personnes fiscales,NBPERS,1,1114021.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
34,DEP,Médiane,MEDIANE,1,20330.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
35,DEP,Nombre de ménages fiscaux,NBMEN,1,444024.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
35,DEP,Nombre de personnes fiscales,NBPERS,1,1019603.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
35,DEP,Médiane,MEDIANE,1,22230.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
36,DEP,Nombre de ménages fiscaux,NBMEN,1,101485.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
36,DEP,Nombre de personnes fiscales,NBPERS,1,209427.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
36,DEP,Médiane,MEDIANE,1,20200.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
37,DEP,Nombre de ménages fiscaux,NBMEN,1,269432.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
37,DEP,Nombre de personnes fiscales,NBPERS,1,593494.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
37,DEP,Médiane,MEDIANE,1,21750.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
38,DEP,Nombre de ménages fiscaux,NBMEN,1,520308.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
38,DEP,Nombre de personnes fiscales,NBPERS,1,1221592.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
38,DEP,Médiane,MEDIANE,1,22950.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
39,DEP,Nombre de ménages fiscaux,NBMEN,1,115221.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
39,DEP,Nombre de personnes fiscales,NBPERS,1,252926.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
39,DEP,Médiane,MEDIANE,1,21700.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
40,DEP,Nombre de ménages fiscaux,NBMEN,1,185047.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
40,DEP,Nombre de personnes fiscales,NBPERS,1,407586.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
40,DEP,Médiane,MEDIANE,1,21360.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
41,DEP,Nombre de ménages fiscaux,NBMEN,1,145295.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
41,DEP,Nombre de personnes fiscales,NBPERS,1,321353.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
41,DEP,Médiane,MEDIANE,1,21380.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
42,DEP,Nombre de ménages fiscaux,NBMEN,1,324748.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
42,DEP,Nombre de personnes fiscales,NBPERS,1,733274.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
42,DEP,Médiane,MEDIANE,1,20770.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
43,DEP,Nombre de ménages fiscaux,NBMEN,1,100452.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
43,DEP,Nombre de personnes fiscales,NBPERS,1,222010.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
43,DEP,Médiane,MEDIANE,1,20800.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
44,DEP,Nombre de ménages fiscaux,NBMEN,1,602174.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
44,DEP,Nombre de personnes fiscales,NBPERS,1,1378126.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
44,DEP,Médiane,MEDIANE,1,22600.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
45,DEP,Nombre de ménages fiscaux,NBMEN,1,284701.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
45,DEP,Nombre de personnes fiscales,NBPERS,1,658374.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
45,DEP,Médiane,MEDIANE,1,21960.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
46,DEP,Nombre de ménages fiscaux,NBMEN,1,78777.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
46,DEP,Nombre de personnes fiscales,NBPERS,1,162860.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
46,DEP,Médiane,MEDIANE,1,20740.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
47,DEP,Nombre de ménages fiscaux,NBMEN,1,146059.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
47,DEP,Nombre de personnes fiscales,NBPERS,1,317408.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
47,DEP,Médiane,MEDIANE,1,19930.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
48,DEP,Nombre de ménages fiscaux,NBMEN,1,33007.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
48,DEP,Nombre de personnes fiscales,NBPERS,1,69916.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
48,DEP,Médiane,MEDIANE,1,20420.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
49,DEP,Nombre de ménages fiscaux,NBMEN,1,336202.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
49,DEP,Nombre de personnes fiscales,NBPERS,1,784657.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
49,DEP,Médiane,MEDIANE,1,21110.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
50,DEP,Nombre de ménages fiscaux,NBMEN,1,222916.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
50,DEP,Nombre de personnes fiscales,NBPERS,1,486103.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
50,DEP,Médiane,MEDIANE,1,20980.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
51,DEP,Nombre de ménages fiscaux,NBMEN,1,241140.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
51,DEP,Nombre de personnes fiscales,NBPERS,1,535969.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
51,DEP,Médiane,MEDIANE,1,21650.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
52,DEP,Nombre de ménages fiscaux,NBMEN,1,77937.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
52,DEP,Nombre de personnes fiscales,NBPERS,1,166785.0,Indicateur de revenus disponibles,GEO2021FILO2018,Fichier localisé social et fiscal,2018.0,,
