code_commune,code_dept,nb_menages,pop_commune,revenu_median,taux_pauvrete,taux_chomage,densite_etablissements,dynamisme_entrepreneurial,inflation_nationale,ipc_national
01001,01,346.0,895.0,25820.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01002,01,115.0,266.0,24480.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01004,01,6855.0,15092.0,21660.0,17.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01005,01,800.0,2028.0,24610.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01006,01,51.0,107.0,24210.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01007,01,1184.0,2874.0,24860.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01008,01,326.0,753.0,26300.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01009,01,157.0,380.0,24810.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01010,01,481.0,1122.0,24700.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01011,01,161.0,405.0,24530.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01012,01,144.0,324.0,24270.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01013,01,67.0,127.0,22180.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01014,01,1361.0,3438.0,22410.0,13.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01015,01,313.0,734.0,23800.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01016,01,187.0,473.0,23080.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01017,01,194.0,419.0,20790.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01021,01,565.0,1423.0,26430.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01022,01,574.0,1158.0,22000.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01024,01,1406.0,3395.0,24460.0,7.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01025,01,1628.0,4204.0,24880.0,6.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01026,01,434.0,942.0,22860.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01027,01,712.0,1899.0,25770.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01028,01,227.0,598.0,25520.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01029,01,274.0,652.0,21350.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01030,01,364.0,826.0,24240.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01031,01,1479.0,3238.0,20550.0,20.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01032,01,1184.0,3117.0,23060.0,8.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01033,01,6545.0,14862.0,23780.0,17.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01034,01,4073.0,8591.0,21180.0,18.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01035,01,145.0,321.0,26160.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01036,01,592.0,1302.0,23820.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01037,01,126.0,285.0,21770.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01038,01,321.0,776.0,24250.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01039,01,214.0,492.0,22130.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01040,01,195.0,516.0,23440.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01041,01,336.0,747.0,25150.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01042,01,126.0,305.0,25520.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01043,01,1963.0,5041.0,28730.0,6.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01044,01,276.0,616.0,28550.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01045,01,106.0,278.0,28180.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01046,01,354.0,873.0,24260.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01047,01,484.0,1277.0,27110.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01049,01,1279.0,3396.0,26780.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01050,01,136.0,359.0,23180.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01052,01,126.0,316.0,27630.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01053,01,18870.0,37019.0,20210.0,24.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01054,01,573.0,1571.0,27320.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01056,01,150.0,343.0,21640.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01057,01,204.0,468.0,24300.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01058,01,344.0,801.0,23420.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01060,01,244.0,548.0,24970.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01061,01,460.0,1183.0,25110.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01062,01,374.0,988.0,28710.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01063,01,246.0,574.0,25400.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01064,01,470.0,1135.0,23440.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01065,01,794.0,1985.0,26810.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01067,01,103.0,245.0,25900.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01068,01,334.0,734.0,21410.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01069,01,671.0,1583.0,25570.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01071,01,1961.0,4845.0,42540.0,7.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01072,01,1392.0,3231.0,25320.0,7.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01073,01,457.0,1045.0,25250.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01074,01,1029.0,2423.0,23720.0,11.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01075,01,555.0,1462.0,24890.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01076,01,86.0,150.0,21070.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01077,01,92.0,184.0,24620.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01078,01,561.0,1340.0,44460.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01079,01,308.0,677.0,22770.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01080,01,281.0,630.0,23720.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01081,01,322.0,726.0,27400.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01082,01,215.0,492.0,27880.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01083,01,384.0,992.0,25580.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01084,01,342.0,909.0,24050.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01085,01,151.0,396.0,26330.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01087,01,118.0,281.0,27320.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01088,01,380.0,975.0,28140.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01089,01,896.0,2353.0,25170.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01090,01,154.0,368.0,24090.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01092,01,674.0,1650.0,25470.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01093,01,2349.0,4775.0,23430.0,10.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01094,01,320.0,756.0,23460.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01095,01,343.0,772.0,23260.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01096,01,410.0,1083.0,23940.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01098,01,460.0,1133.0,22520.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01099,01,674.0,1601.0,26780.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01100,01,74.0,129.0,21090.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01101,01,71.0,163.0,26800.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01102,01,399.0,1021.0,23750.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01103,01,769.0,1952.0,44010.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01104,01,196.0,428.0,25230.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01105,01,728.0,1964.0,28920.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01106,01,75.0,166.0,23440.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01107,01,64.0,138.0,22370.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01108,01,554.0,1185.0,23750.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01109,01,814.0,2144.0,33820.0,11.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01110,01,69.0,155.0,20800.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01111,01,62.0,134.0,21730.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01112,01,167.0,451.0,25520.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01113,01,345.0,842.0,23170.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01114,01,238.0,587.0,30140.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01115,01,562.0,1373.0,24350.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01116,01,212.0,474.0,23210.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01117,01,59.0,149.0,22900.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01118,01,454.0,1037.0,27120.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01121,01,45.0,106.0,24470.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01123,01,462.0,1208.0,25480.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01124,01,314.0,732.0,23440.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01125,01,278.0,633.0,24010.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01127,01,228.0,510.0,24080.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01128,01,134.0,297.0,22520.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01129,01,123.0,323.0,26820.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01130,01,938.0,2433.0,24120.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01133,01,169.0,400.0,23660.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01134,01,754.0,1856.0,24310.0,,5.9,1948.124171170272,326.5442573289541,1.64,106.49
01135,01,796.0,2072.0,44040.0,10.0,5.9,1948.124171170272,326.5442573289541,1.64,106.49
