code_dept,revenu_median,nb_menages,pop_departement,taux_chomage,nb_etablissements,nb_creations_entreprises,densite_etablissements,dynamisme_entrepreneurial,inflation_nationale,ipc_national
01,24560.0,269760.0,631161.0,5.9,1229580.0,206102.0,1948.124171170272,326.5442573289541,1.64,106.49
02,22240.0,221019.0,498709.0,10.95,964938.0,117592.0,1934.8718390885267,235.79281705363246,1.64,106.49
03,21415.0,159799.0,323062.0,8.15,666222.0,94155.0,2062.210968792368,291.4456048684154,1.64,106.49
04,21210.0,71574.0,144637.0,8.825,325878.0,77192.0,2253.0749393308765,533.6946977606007,1.64,106.49
05,21670.0,64915.0,131515.0,7.95,334771.0,76224.0,2545.496711401741,579.5840778618408,1.64,106.49
06,23380.0,536066.0,1106087.0,8.55,2669520.0,723660.0,2413.4810372059337,654.2523327731001,1.64,106.49
07,21230.0,144255.0,307036.0,8.65,580494.0,115464.0,1890.6382313474642,376.06013627066534,1.64,106.49
08,22100.0,114777.0,249024.0,9.475,507249.0,69276.0,2036.9482459521976,278.1900539707016,1.64,106.49
09,20845.0,69422.0,142158.0,9.7,286848.0,59276.0,2017.8111678554847,416.97266421868625,1.64,106.49
10,23220.0,130771.0,280201.0,9.95,649314.0,88566.0,2317.3150702531398,316.08024239742184,1.64,106.49
11,20555.0,168470.0,347799.0,10.7,673380.0,143058.0,1936.118275210682,411.32378183951073,1.64,106.49
12,21215.0,126269.0,261903.0,6.0,605928.0,100370.0,2313.5588366685374,383.2334872070958,1.64,106.49
13,25260.0,1232163.0,2692299.0,9.2,5142816.0,993496.0,1910.194967200894,369.0139913880293,1.64,106.49
14,23735.0,306543.0,662682.0,7.025,1633560.0,234202.0,2465.0737457785185,353.41536362840696,1.64,106.49
15,20810.0,66273.0,134384.0,4.3,304524.0,45600.0,2266.0733420645315,339.32611025122037,1.64,106.49
16,21580.0,161333.0,337407.0,7.4,756672.0,113186.0,2242.609074500529,335.4583633416023,1.64,106.49
17,21920.0,316159.0,656880.0,7.725,1292034.0,259464.0,1966.9254658385094,394.9945195469492,1.64,106.49
18,22190.0,139061.0,288830.0,7.8,603894.0,78430.0,2090.8285150434513,271.543814700689,1.64,106.49
19,21780.0,110389.0,225138.0,6.375,512160.0,79254.0,2274.8714122005167,352.02409189030726,1.64,106.49
21,23770.0,227952.0,483637.0,5.925,1365600.0,183094.0,2823.60530728625,378.57732142081767,1.64,106.49
22,22090.0,281329.0,600692.0,6.85,1216590.0,172420.0,2025.314137694526,287.03561891951284,1.64,106.49
23,20040.0,55554.0,108160.0,7.0,213444.0,35127.0,1973.4097633136093,324.7688609467456,1.64,106.49
