periode,taux_chomage,code_zone,description
1982-Q1,5.2,D12,Taux de chômage localisé par département - Aveyron
1982-Q2,5.3,D12,Taux de chômage localisé par département - Aveyron
1982-Q3,5.5,D12,Taux de chômage localisé par département - Aveyron
1982-Q4,5.5,D12,Taux de chômage localisé par département - Aveyron
1983-Q1,5.6,D12,Taux de chômage localisé par département - Aveyron
1983-Q2,5.6,D12,Taux de chômage localisé par département - Aveyron
1983-Q3,5.7,D12,Taux de chômage localisé par département - Aveyron
1983-Q4,6.0,D12,Taux de chômage localisé par département - Aveyron
1984-Q1,6.2,D12,Taux de chômage localisé par département - Aveyron
1984-Q2,6.3,D12,Taux de chômage localisé par département - Aveyron
1984-Q3,6.4,D12,Taux de chômage localisé par département - Aveyron
1984-Q4,6.5,D12,Taux de chômage localisé par département - Aveyron
1985-Q1,6.5,D12,Taux de chômage localisé par département - Aveyron
1985-Q2,6.4,D12,Taux de chômage localisé par département - Aveyron
1985-Q3,6.6,D12,Taux de chômage localisé par département - Aveyron
1985-Q4,6.5,D12,Taux de chômage localisé par département - Aveyron
1986-Q1,6.4,D12,Taux de chômage localisé par département - Aveyron
1986-Q2,6.5,D12,Taux de chômage localisé par département - Aveyron
1986-Q3,6.4,D12,Taux de chômage localisé par département - Aveyron
1986-Q4,6.3,D12,Taux de chômage localisé par département - Aveyron
1987-Q1,6.4,D12,Taux de chômage localisé par département - Aveyron
1987-Q2,6.4,D12,Taux de chômage localisé par département - Aveyron
1987-Q3,6.1,D12,Taux de chômage localisé par département - Aveyron
1987-Q4,6.1,D12,Taux de chômage localisé par département - Aveyron
1988-Q1,6.1,D12,Taux de chômage localisé par département - Aveyron
1988-Q2,6.0,D12,Taux de chômage localisé par département - Aveyron
1988-Q3,5.9,D12,Taux de chômage localisé par département - Aveyron
1988-Q4,5.7,D12,Taux de chômage localisé par département - Aveyron
1989-Q1,5.6,D12,Taux de chômage localisé par département - Aveyron
1989-Q2,5.5,D12,Taux de chômage localisé par département - Aveyron
1989-Q3,5.4,D12,Taux de chômage localisé par département - Aveyron
1989-Q4,5.4,D12,Taux de chômage localisé par département - Aveyron
1990-Q1,5.5,D12,Taux de chômage localisé par département - Aveyron
1990-Q2,5.5,D12,Taux de chômage localisé par département - Aveyron
1990-Q3,5.4,D12,Taux de chômage localisé par département - Aveyron
1990-Q4,5.3,D12,Taux de chômage localisé par département - Aveyron
1991-Q1,5.3,D12,Taux de chômage localisé par département - Aveyron
1991-Q2,5.3,D12,Taux de chômage localisé par département - Aveyron
1991-Q3,5.3,D12,Taux de chômage localisé par département - Aveyron
1991-Q4,5.3,D12,Taux de chômage localisé par département - Aveyron
1992-Q1,5.4,D12,Taux de chômage localisé par département - Aveyron
1992-Q2,5.5,D12,Taux de chômage localisé par département - Aveyron
1992-Q3,5.6,D12,Taux de chômage localisé par département - Aveyron
1992-Q4,5.6,D12,Taux de chômage localisé par département - Aveyron
1993-Q1,5.5,D12,Taux de chômage localisé par département - Aveyron
1993-Q2,5.6,D12,Taux de chômage localisé par département - Aveyron
1993-Q3,5.8,D12,Taux de chômage localisé par département - Aveyron
1993-Q4,5.9,D12,Taux de chômage localisé par département - Aveyron
1994-Q1,6.0,D12,Taux de chômage localisé par département - Aveyron
1994-Q2,6.1,D12,Taux de chômage localisé par département - Aveyron
1994-Q3,6.0,D12,Taux de chômage localisé par département - Aveyron
1994-Q4,5.9,D12,Taux de chômage localisé par département - Aveyron
1995-Q1,5.9,D12,Taux de chômage localisé par département - Aveyron
1995-Q2,5.7,D12,Taux de chômage localisé par département - Aveyron
1995-Q3,5.6,D12,Taux de chômage localisé par département - Aveyron
1995-Q4,5.7,D12,Taux de chômage localisé par département - Aveyron
1996-Q1,6.0,D12,Taux de chômage localisé par département - Aveyron
1996-Q2,6.2,D12,Taux de chômage localisé par département - Aveyron
1996-Q3,6.2,D12,Taux de chômage localisé par département - Aveyron
1996-Q4,6.3,D12,Taux de chômage localisé par département - Aveyron
1997-Q1,6.3,D12,Taux de chômage localisé par département - Aveyron
1997-Q2,6.2,D12,Taux de chômage localisé par département - Aveyron
1997-Q3,6.2,D12,Taux de chômage localisé par département - Aveyron
1997-Q4,6.2,D12,Taux de chômage localisé par département - Aveyron
1998-Q1,6.1,D12,Taux de chômage localisé par département - Aveyron
1998-Q2,6.0,D12,Taux de chômage localisé par département - Aveyron
1998-Q3,5.9,D12,Taux de chômage localisé par département - Aveyron
1998-Q4,5.9,D12,Taux de chômage localisé par département - Aveyron
1999-Q1,6.0,D12,Taux de chômage localisé par département - Aveyron
1999-Q2,6.0,D12,Taux de chômage localisé par département - Aveyron
1999-Q3,5.9,D12,Taux de chômage localisé par département - Aveyron
1999-Q4,5.7,D12,Taux de chômage localisé par département - Aveyron
2000-Q1,5.5,D12,Taux de chômage localisé par département - Aveyron
2000-Q2,5.3,D12,Taux de chômage localisé par département - Aveyron
2000-Q3,5.2,D12,Taux de chômage localisé par département - Aveyron
2000-Q4,4.9,D12,Taux de chômage localisé par département - Aveyron
2001-Q1,4.7,D12,Taux de chômage localisé par département - Aveyron
2001-Q2,4.7,D12,Taux de chômage localisé par département - Aveyron
2001-Q3,4.6,D12,Taux de chômage localisé par département - Aveyron
2001-Q4,4.7,D12,Taux de chômage localisé par département - Aveyron
2002-Q1,4.8,D12,Taux de chômage localisé par département - Aveyron
2002-Q2,4.7,D12,Taux de chômage localisé par département - Aveyron
2002-Q3,4.8,D12,Taux de chômage localisé par département - Aveyron
2002-Q4,4.9,D12,Taux de chômage localisé par département - Aveyron
2003-Q1,5.1,D12,Taux de chômage localisé par département - Aveyron
2003-Q2,5.2,D12,Taux de chômage localisé par département - Aveyron
2003-Q3,5.1,D12,Taux de chômage localisé par département - Aveyron
2003-Q4,5.2,D12,Taux de chômage localisé par département - Aveyron
2004-Q1,5.3,D12,Taux de chômage localisé par département - Aveyron
2004-Q2,5.2,D12,Taux de chômage localisé par département - Aveyron
2004-Q3,5.2,D12,Taux de chômage localisé par département - Aveyron
2004-Q4,5.2,D12,Taux de chômage localisé par département - Aveyron
2005-Q1,5.1,D12,Taux de chômage localisé par département - Aveyron
2005-Q2,5.2,D12,Taux de chômage localisé par département - Aveyron
2005-Q3,5.4,D12,Taux de chômage localisé par département - Aveyron
2005-Q4,5.5,D12,Taux de chômage localisé par département - Aveyron
2006-Q1,5.7,D12,Taux de chômage localisé par département - Aveyron
2006-Q2,5.6,D12,Taux de chômage localisé par département - Aveyron
2006-Q3,5.7,D12,Taux de chômage localisé par département - Aveyron
2006-Q4,5.3,D12,Taux de chômage localisé par département - Aveyron
2007-Q1,5.2,D12,Taux de chômage localisé par département - Aveyron
2007-Q2,5.0,D12,Taux de chômage localisé par département - Aveyron
2007-Q3,5.0,D12,Taux de chômage localisé par département - Aveyron
2007-Q4,4.8,D12,Taux de chômage localisé par département - Aveyron
2008-Q1,4.6,D12,Taux de chômage localisé par département - Aveyron
2008-Q2,4.8,D12,Taux de chômage localisé par département - Aveyron
2008-Q3,5.0,D12,Taux de chômage localisé par département - Aveyron
2008-Q4,5.3,D12,Taux de chômage localisé par département - Aveyron
2009-Q1,5.9,D12,Taux de chômage localisé par département - Aveyron
