periode,taux_chomage,description,zone,id_serie,annee
1975-Q1,644.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1975
1975-Q2,718.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1975
1975-Q3,790.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1975
1975-Q4,812.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1975
1976-Q1,822.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1976
1976-Q2,840.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1976
1976-Q3,835.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1976
1976-Q4,830.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1976
1977-Q1,872.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1977
1977-Q2,950.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1977
1977-Q3,996.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1977
1977-Q4,976.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1977
1978-Q1,937.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1978
1978-Q2,950.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1978
1978-Q3,1019.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1978
1978-Q4,1068.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1978
1979-Q1,1089.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1979
1979-Q2,1119.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1979
1979-Q3,1150.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1979
1979-Q4,1173.0,Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS - Série arrêtée,FM,1688358,1979
