periode,taux_chomage,description,zone,id_serie,annee
1982-Q1,7.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1982
1982-Q2,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1982
1982-Q3,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1982
1982-Q4,7.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1982
1983-Q1,6.7,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1983
1983-Q2,6.6,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1983
1983-Q3,6.8,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1983
1983-Q4,7.1,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1983
1984-Q1,7.6,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1984
1984-Q2,8.1,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1984
1984-Q3,8.5,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1984
1984-Q4,8.7,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1984
1985-Q1,8.5,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1985
1985-Q2,8.6,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1985
1985-Q3,8.9,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1985
1985-Q4,9.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1985
1986-Q1,9.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1986
1986-Q2,9.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1986
1986-Q3,9.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1986
1986-Q4,9.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1986
1987-Q1,9.5,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1987
1987-Q2,9.6,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1987
1987-Q3,9.4,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1987
1987-Q4,9.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1987
1988-Q1,9.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1988
1988-Q2,8.7,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1988
1988-Q3,8.6,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1988
1988-Q4,8.4,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1988
1989-Q1,8.0,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1989
1989-Q2,7.8,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1989
1989-Q3,7.5,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1989
1989-Q4,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1989
1990-Q1,7.3,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1990
1990-Q2,7.3,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1990
1990-Q3,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1990
1990-Q4,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1990
1991-Q1,7.2,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1991
1991-Q2,7.3,Taux de chômage localisé par département - Haute-Saône,D70,1515935,1991
