periode,nb_logements,description,zone,id_serie,annee,mois
2000-12,369200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2000,12
2001-01,368900,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,1
2001-02,370200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,2
2001-03,370200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,3
2001-04,366200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,4
2001-05,359400,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,5
2001-06,358800,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,6
2001-07,360700,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,7
2001-08,360200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,8
2001-09,358500,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,9
2001-10,361300,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,10
2001-11,359500,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,11
2001-12,358100,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2001,12
2002-01,357900,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,1
2002-02,355100,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,2
2002-03,352000,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,3
2002-04,357300,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,4
2002-05,357100,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,5
2002-06,355800,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,6
2002-07,354800,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,7
2002-08,352400,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,8
2002-09,356200,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,9
2002-10,355100,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,10
2002-11,355300,Nombre de logements autorisés - Cumul sur douze mois - Total - France métropolitaine - Estimations en date réelle,FM,1718162,2002,11
