code_dept,nb_creations,annee,unite,NA10_HORS_AZ_label,UNIT
01,7304,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,534,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,871,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,2002,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,256,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,135,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,452,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,1491,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,744,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,819,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
01,47380,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,4366,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,6785,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,13020,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,1019,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,1912,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,1996,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,7606,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,6403,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,4273,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
01,41916,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,3554,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,6515,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,10905,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,938,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,1491,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,1730,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,6834,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,5858,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
01,4091,2020,Nombre d'entreprises,"Activité économique en 10 postes, hors AZ (NA - A10)",NBENT
02,3670,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,287,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,425,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,1210,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,117,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,75,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,88,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,689,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,369,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,410,2020,Nombre de créations d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBCRET
02,28151,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,2536,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,3721,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,8774,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,523,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,1076,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
02,1251,2020,Nombre d'établissements,"Activité économique en 10 postes, hors AZ (NA - A10)",NBET
