periode,indice_prix,description,zone,id_serie,annee,mois,inflation_12m
1990-01,66.44,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,1,
1990-02,66.58,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,2,
1990-03,66.74,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,3,
1990-04,67.11,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,4,
1990-05,67.21,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,5,
1990-06,67.2,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,6,
1990-07,67.22,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,7,
1990-08,67.66,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,8,
1990-09,68.15,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,9,
1990-10,68.44,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,10,
1990-11,68.33,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,11,
1990-12,68.28,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1990,12,
1991-01,68.66,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,1,3.341360626128842
1991-02,68.84,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,2,3.3944127365575394
1991-03,68.97,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,3,3.3413245430027105
1991-04,69.18,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,4,3.0844881537773983
1991-05,69.4,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,5,3.2584436839756092
1991-06,69.57,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,6,3.5267857142857073
1991-07,69.75,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,7,3.7637607854805077
1991-08,69.83,Indice des prix à la consommation - Base 2015 - Ensemble des ménages - France métropolitaine - Ensemble,FM,1763866,1991,8,3.207212533254511
