periode,nb_logements,description,zone,id_serie,annee
1982,23652.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1982
1983,24003.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1983
1984,24368.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1984
1985,24713.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1985
1986,25038.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1986
1987,25361.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1987
1988,25660.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1988
1989,25930.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1989
1990,26197.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1990
1991,26499.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1991
1992,26773.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1992
1993,27044.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1993
1994,27310.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1994
1995,27593.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1995
1996,27869.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1996
1997,28135.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1997
1998,28400.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1998
1999,28657.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,1999
2000,28988.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2000
2001,29329.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2001
2002,29660.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2002
2003,29994.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2003
2004,30339.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2004
2005,30687.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2005
2006,31060.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2006
2007,31449.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2007
2008,31819.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2008
2009,32174.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2009
2010,32520.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2010
2011,32860.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2011
2012,33212.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2012
2013,33575.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2013
2014,33943.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2014
2015,34307.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2015
2016,34646.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2016
2017,34981.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2017
2018,35311.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2018
2019,35637.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2019
2020,35958.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2020
2021,36247.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2021
2022,36560.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2022
2023,36868.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2023
2024,37163.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2024
2025,37445.0,Estimation annuelle du parc de logements - Nombre total de logements - France métropolitaine,FM,1687211,2025
1982,19542.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1982
1983,19812.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1983
1984,20095.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1984
1985,20360.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1985
1986,20610.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1986
1987,20857.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1987
1988,21086.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1988
1989,21292.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1989
1990,21496.0,Estimation annuelle du parc de logements - Nombre de résidences principales - Ensemble - France métropolitaine,FM,1687212,1990
