periode,taux_pauvrete,description,zone,id_serie,annee
2012,13.6,Taux de pauvreté : Moins de 30 ans - Vendée,D85,1742658,2012
2013,14.5,Taux de pauvreté : Moins de 30 ans - Vendée,D85,1742658,2013
2014,14.5,Taux de pauvreté : Moins de 30 ans - Vendée,D85,1742658,2014
2015,14.8,Taux de pauvreté : Moins de 30 ans - Vendée,D85,1742658,2015
2012,23.6,Taux de pauvreté : Moins de 30 ans - Vienne,D86,1742659,2012
2013,24.9,Taux de pauvreté : Moins de 30 ans - Vienne,D86,1742659,2013
2014,25.5,Taux de pauvreté : Moins de 30 ans - Vienne,D86,1742659,2014
2015,26.4,Taux de pauvreté : Moins de 30 ans - Vienne,D86,1742659,2015
2012,28.1,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,D87,1742660,2012
2013,29.3,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,D87,1742660,2013
2014,29.1,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,D87,1742660,2014
2015,28.8,Taux de pauvreté : Moins de 30 ans - Haute-Vienne,D87,1742660,2015
2012,25.5,Taux de pauvreté : Moins de 30 ans - Vosges,D88,1742661,2012
2013,27.0,Taux de pauvreté : Moins de 30 ans - Vosges,D88,1742661,2013
2014,27.8,Taux de pauvreté : Moins de 30 ans - Vosges,D88,1742661,2014
2015,27.4,Taux de pauvreté : Moins de 30 ans - Vosges,D88,1742661,2015
2012,22.3,Taux de pauvreté : Moins de 30 ans - Yonne,D89,1742662,2012
2013,22.7,Taux de pauvreté : Moins de 30 ans - Yonne,D89,1742662,2013
2014,23.0,Taux de pauvreté : Moins de 30 ans - Yonne,D89,1742662,2014
2015,22.2,Taux de pauvreté : Moins de 30 ans - Yonne,D89,1742662,2015
2012,24.9,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,D90,1742663,2012
2013,25.1,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,D90,1742663,2013
2014,25.3,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,D90,1742663,2014
2015,24.9,Taux de pauvreté : Moins de 30 ans - Territoire de Belfort,D90,1742663,2015
2012,17.4,Taux de pauvreté : Moins de 30 ans - Essonne,D91,1742664,2012
2013,18.4,Taux de pauvreté : Moins de 30 ans - Essonne,D91,1742664,2013
2014,17.9,Taux de pauvreté : Moins de 30 ans - Essonne,D91,1742664,2014
2015,18.6,Taux de pauvreté : Moins de 30 ans - Essonne,D91,1742664,2015
2012,15.2,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,D92,1742665,2012
2013,15.8,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,D92,1742665,2013
2014,15.7,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,D92,1742665,2014
2015,15.9,Taux de pauvreté : Moins de 30 ans - Hauts-de-Seine,D92,1742665,2015
2012,29.3,Taux de pauvreté : Moins de 30 ans - Seine-Saint-Denis,D93,1742666,2012
