code_commune,taux_pauvrete,code_dept,annee
01004,17.0,01,2021
01014,13.0,01,2021
01024,7.0,01,2021
01025,6.0,01,2021
01031,20.0,01,2021
01032,8.0,01,2021
01033,17.0,01,2021
01034,18.0,01,2021
01043,6.0,01,2021
01053,24.0,01,2021
01071,7.0,01,2021
01072,7.0,01,2021
01074,11.0,01,2021
01093,10.0,01,2021
01109,11.0,01,2021
01135,10.0,01,2021
01138,13.0,01,2021
01142,9.0,01,2021
01143,8.0,01,2021
01159,6.0,01,2021
01160,23.0,01,2021
01173,10.0,01,2021
01185,11.0,01,2021
01194,11.0,01,2021
01199,12.0,01,2021
01202,10.0,01,2021
01224,8.0,01,2021
01244,9.0,01,2021
01246,9.0,01,2021
01249,9.0,01,2021
01262,13.0,01,2021
01263,6.0,01,2021
01265,17.0,01,2021
01266,11.0,01,2021
01269,30.0,01,2021
01281,16.0,01,2021
01283,28.0,01,2021
01289,10.0,01,2021
01304,13.0,01,2021
01305,15.0,01,2021
01313,13.0,01,2021
01320,6.0,01,2021
01322,5.0,01,2021
01344,8.0,01,2021
01345,10.0,01,2021
01348,8.0,01,2021
01354,18.0,01,2021
01376,11.0,01,2021
01384,21.0,01,2021
01419,12.0,01,2021
01427,11.0,01,2021
01435,13.0,01,2021
01443,8.0,01,2021
01451,7.0,01,2021
01457,11.0,01,2021
02018,17.0,02,2021
02028,12.0,02,2021
02059,28.0,02,2021
02064,19.0,02,2021
02095,37.0,02,2021
02110,19.0,02,2021
02163,15.0,02,2021
02168,27.0,02,2021
02173,29.0,02,2021
02243,18.0,02,2021
02290,9.0,02,2021
02304,38.0,02,2021
02305,23.0,02,2021
02334,22.0,02,2021
02340,17.0,02,2021
02360,9.0,02,2021
02361,32.0,02,2021
02381,35.0,02,2021
02408,31.0,02,2021
02468,27.0,02,2021
02555,16.0,02,2021
02558,23.0,02,2021
02684,23.0,02,2021
02691,29.0,02,2021
02719,12.0,02,2021
02722,30.0,02,2021
02738,26.0,02,2021
02758,15.0,02,2021
02789,29.0,02,2021
02805,21.0,02,2021
02810,18.0,02,2021
03001,12.0,03,2021
03013,10.0,03,2021
03023,17.0,03,2021
03036,16.0,03,2021
03082,19.0,03,2021
03084,14.0,03,2021
03094,8.0,03,2021
03095,20.0,03,2021
03098,14.0,03,2021
03101,11.0,03,2021
03102,14.0,03,2021
03118,17.0,03,2021
03128,11.0,03,2021
03138,19.0,03,2021
03185,25.0,03,2021
03190,24.0,03,2021
03195,11.0,03,2021
03236,17.0,03,2021
03254,15.0,03,2021
03264,16.0,03,2021
03298,18.0,03,2021
03310,23.0,03,2021
03321,11.0,03,2021
04019,17.0,04,2021
04049,17.0,04,2021
04070,18.0,04,2021
04088,20.0,04,2021
04094,16.0,04,2021
04112,21.0,04,2021
04116,17.0,04,2021
04143,12.0,04,2021
04149,14.0,04,2021
04152,7.0,04,2021
04197,16.0,04,2021
04209,18.0,04,2021
04230,16.0,04,2021
04242,10.0,04,2021
04245,10.0,04,2021
05006,18.0,05,2021
05017,9.0,05,2021
05023,15.0,05,2021
05040,12.0,05,2021
05046,15.0,05,2021
05061,15.0,05,2021
05065,16.0,05,2021
05070,16.0,05,2021
05132,14.0,05,2021
05170,12.0,05,2021
05179,20.0,05,2021
06004,15.0,06,2021
06007,9.0,06,2021
06010,12.0,06,2021
06011,16.0,06,2021
06012,20.0,06,2021
06018,8.0,06,2021
06027,14.0,06,2021
06029,21.0,06,2021
06030,17.0,06,2021
06032,14.0,06,2021
06033,13.0,06,2021
06038,9.0,06,2021
06044,9.0,06,2021
06048,10.0,06,2021
06054,17.0,06,2021
06057,12.0,06,2021
06059,11.0,06,2021
06064,8.0,06,2021
06065,7.0,06,2021
06069,15.0,06,2021
06075,9.0,06,2021
06079,13.0,06,2021
06083,17.0,06,2021
06084,9.0,06,2021
06085,11.0,06,2021
06088,22.0,06,2021
06089,9.0,06,2021
06090,9.0,06,2021
06095,9.0,06,2021
06104,14.0,06,2021
06105,7.0,06,2021
06108,8.0,06,2021
06112,8.0,06,2021
06114,16.0,06,2021
06118,10.0,06,2021
06122,9.0,06,2021
06123,12.0,06,2021
06126,10.0,06,2021
06128,12.0,06,2021
06130,9.0,06,2021
06136,15.0,06,2021
06140,9.0,06,2021
06147,8.0,06,2021
06148,12.0,06,2021
06149,14.0,06,2021
06150,11.0,06,2021
06152,10.0,06,2021
06155,18.0,06,2021
06157,14.0,06,2021
06159,13.0,06,2021
06161,10.0,06,2021
07010,23.0,07,2021
07019,25.0,07,2021
07041,9.0,07,2021
07042,22.0,07,2021
07055,9.0,07,2021
07064,13.0,07,2021
07066,9.0,07,2021
07076,13.0,07,2021
07078,7.0,07,2021
07102,8.0,07,2021
07129,19.0,07,2021
07138,12.0,07,2021
07181,21.0,07,2021
07186,21.0,07,2021
07191,12.0,07,2021
07201,15.0,07,2021
07204,15.0,07,2021
07231,11.0,07,2021
07245,8.0,07,2021
07281,8.0,07,2021
07308,12.0,07,2021
07319,22.0,07,2021
07324,17.0,07,2021
07330,18.0,07,2021
07331,21.0,07,2021
07334,25.0,07,2021
07341,16.0,07,2021
07346,15.0,07,2021
07349,19.0,07,2021
08053,11.0,08,2021
08081,24.0,08,2021
08090,24.0,08,2021
08105,30.0,08,2021
08145,15.0,08,2021
08174,13.0,08,2021
08185,25.0,08,2021
08190,26.0,08,2021
08302,22.0,08,2021
08311,19.0,08,2021
08327,15.0,08,2021
08328,26.0,08,2021
08362,23.0,08,2021
08363,25.0,08,2021
08367,23.0,08,2021
08409,33.0,08,2021
08480,13.0,08,2021
08488,24.0,08,2021
08490,22.0,08,2021
08491,20.0,08,2021
09122,22.0,09,2021
09157,22.0,09,2021
09160,28.0,09,2021
09167,13.0,09,2021
09185,13.0,09,2021
09194,20.0,09,2021
09225,23.0,09,2021
09261,21.0,09,2021
09265,13.0,09,2021
09282,13.0,09,2021
09306,26.0,09,2021
09312,11.0,09,2021
09324,13.0,09,2021
10003,16.0,10,2021
10006,20.0,10,2021
10033,26.0,10,2021
10034,24.0,10,2021
10060,10.0,10,2021
10064,19.0,10,2021
10081,37.0,10,2021
10265,24.0,10,2021
10268,20.0,10,2021
10297,22.0,10,2021
10321,8.0,10,2021
10323,30.0,10,2021
10325,9.0,10,2021
10333,17.0,10,2021
10343,14.0,10,2021
10357,8.0,10,2021
10362,16.0,10,2021
10387,30.0,10,2021
10401,20.0,10,2021
10420,17.0,10,2021
11012,17.0,11,2021
11049,16.0,11,2021
11069,28.0,11,2021
11076,21.0,11,2021
11099,15.0,11,2021
11106,20.0,11,2021
11116,20.0,11,2021
11145,17.0,11,2021
11170,17.0,11,2021
11188,15.0,11,2021
11202,18.0,11,2021
11203,24.0,11,2021
11206,22.0,11,2021
11258,14.0,11,2021
11262,25.0,11,2021
11266,23.0,11,2021
11269,17.0,11,2021
11272,8.0,11,2021
11279,13.0,11,2021
11304,26.0,11,2021
11360,12.0,11,2021
11369,16.0,11,2021
11370,13.0,11,2021
11379,18.0,11,2021
11397,24.0,11,2021
11429,11.0,11,2021
11441,9.0,11,2021
12013,18.0,12,2021
12033,9.0,12,2021
12052,15.0,12,2021
12056,9.0,12,2021
12089,23.0,12,2021
12096,11.0,12,2021
12100,13.0,12,2021
12120,13.0,12,2021
12133,8.0,12,2021
12145,16.0,12,2021
12176,17.0,12,2021
12202,16.0,12,2021
12208,15.0,12,2021
12270,14.0,12,2021
12300,19.0,12,2021
13001,15.0,13,2021
13002,7.0,13,2021
13003,7.0,13,2021
13004,24.0,13,2021
13005,16.0,13,2021
13007,9.0,13,2021
13010,12.0,13,2021
13014,19.0,13,2021
13015,6.0,13,2021
13016,8.0,13,2021
13018,18.0,13,2021
13019,5.0,13,2021
13021,5.0,13,2021
13022,10.0,13,2021
13023,8.0,13,2021
13024,12.0,13,2021
13026,13.0,13,2021
13027,18.0,13,2021
13028,15.0,13,2021
13030,9.0,13,2021
13031,7.0,13,2021
13032,7.0,13,2021
13033,8.0,13,2021
13035,10.0,13,2021
13036,14.0,13,2021
13037,7.0,13,2021
13038,13.0,13,2021
13039,11.0,13,2021
13040,7.0,13,2021
13041,13.0,13,2021
13042,7.0,13,2021
13043,11.0,13,2021
13044,8.0,13,2021
13045,13.0,13,2021
13046,6.0,13,2021
13047,14.0,13,2021
13048,8.0,13,2021
13050,9.0,13,2021
13051,7.0,13,2021
13052,11.0,13,2021
13053,11.0,13,2021
13054,19.0,13,2021
13055,26.0,13,2021
13056,18.0,13,2021
13058,12.0,13,2021
13059,12.0,13,2021
13060,7.0,13,2021
13062,5.0,13,2021
13063,23.0,13,2021
13064,9.0,13,2021
13065,13.0,13,2021
13066,13.0,13,2021
13067,22.0,13,2021
13069,8.0,13,2021
13070,11.0,13,2021
13071,8.0,13,2021
13072,6.0,13,2021
13073,6.0,13,2021
13074,11.0,13,2021
13075,8.0,13,2021
13076,13.0,13,2021
13077,22.0,13,2021
13078,21.0,13,2021
13080,9.0,13,2021
13081,10.0,13,2021
13082,10.0,13,2021
13083,11.0,13,2021
13084,15.0,13,2021
13085,8.0,13,2021
13086,10.0,13,2021
13087,10.0,13,2021
13088,10.0,13,2021
13089,15.0,13,2021
13091,8.0,13,2021
13092,10.0,13,2021
13096,21.0,13,2021
13097,12.0,13,2021
13098,8.0,13,2021
13100,17.0,13,2021
13101,6.0,13,2021
13102,13.0,13,2021
13103,17.0,13,2021
13104,7.0,13,2021
13105,15.0,13,2021
13106,16.0,13,2021
13107,7.0,13,2021
13108,31.0,13,2021
13110,10.0,13,2021
13112,7.0,13,2021
13113,6.0,13,2021
13114,5.0,13,2021
13117,17.0,13,2021
13119,9.0,13,2021
13201,38.0,13,2021
13202,39.0,13,2021
13203,52.0,13,2021
13204,24.0,13,2021
13205,23.0,13,2021
13206,18.0,13,2021
13207,13.0,13,2021
13208,12.0,13,2021
13209,15.0,13,2021
13210,23.0,13,2021
13211,19.0,13,2021
13212,13.0,13,2021
13213,27.0,13,2021
13214,42.0,13,2021
13215,44.0,13,2021
13216,25.0,13,2021
14020,11.0,14,2021
14027,14.0,14,2021
14047,17.0,14,2021
14061,12.0,14,2021
14068,5.0,14,2021
14076,11.0,14,2021
14098,6.0,14,2021
14101,7.0,14,2021
14117,14.0,14,2021
14118,21.0,14,2021
14137,10.0,14,2021
14143,16.0,14,2021
14167,21.0,14,2021
14174,17.0,14,2021
14181,10.0,14,2021
14191,11.0,14,2021
14220,13.0,14,2021
14221,8.0,14,2021
14225,20.0,14,2021
14228,9.0,14,2021
14258,19.0,14,2021
14271,16.0,14,2021
14301,13.0,14,2021
14327,27.0,14,2021
14333,18.0,14,2021
14338,11.0,14,2021
14341,14.0,14,2021
14342,18.0,14,2021
14366,22.0,14,2021
14370,13.0,14,2021
14371,17.0,14,2021
14384,9.0,14,2021
14409,10.0,14,2021
14431,15.0,14,2021
14437,13.0,14,2021
14456,10.0,14,2021
14488,10.0,14,2021
14514,13.0,14,2021
14536,9.0,14,2021
14562,8.0,14,2021
14587,19.0,14,2021
14654,15.0,14,2021
14658,16.0,14,2021
14689,14.0,14,2021
14699,16.0,14,2021
14712,7.0,14,2021
14715,18.0,14,2021
14726,15.0,14,2021
14738,7.0,14,2021
14752,12.0,14,2021
14754,14.0,14,2021
14762,15.0,14,2021
15012,8.0,15,2021
15014,16.0,15,2021
15120,15.0,15,2021
15122,18.0,15,2021
15162,15.0,15,2021
15187,14.0,15,2021
15267,6.0,15,2021
16015,26.0,16,2021
16028,21.0,16,2021
16061,7.0,16,2021
16078,6.0,16,2021
16085,17.0,16,2021
16089,9.0,16,2021
16090,12.0,16,2021
16102,18.0,16,2021
16106,20.0,16,2021
16113,17.0,16,2021
16138,8.0,16,2021
16154,14.0,16,2021
16166,14.0,16,2021
16167,12.0,16,2021
16192,18.0,16,2021
16199,8.0,16,2021
16230,18.0,16,2021
16244,15.0,16,2021
16281,15.0,16,2021
16286,14.0,16,2021
16287,7.0,16,2021
16291,12.0,16,2021
16292,24.0,16,2021
16341,15.0,16,2021
16358,11.0,16,2021
16374,31.0,16,2021
16393,9.0,16,2021
17003,7.0,17,2021
17010,8.0,17,2021
17021,12.0,17,2021
17028,12.0,17,2021
17051,8.0,17,2021
17058,14.0,17,2021
17064,9.0,17,2021
17086,9.0,17,2021
17093,12.0,17,2021
17094,8.0,17,2021
17127,11.0,17,2021
17131,13.0,17,2021
17140,12.0,17,2021
17142,6.0,17,2021
17146,8.0,17,2021
17155,9.0,17,2021
17161,10.0,17,2021
17168,9.0,17,2021
17172,16.0,17,2021
17197,22.0,17,2021
17200,5.0,17,2021
17218,13.0,17,2021
17219,13.0,17,2021
17224,16.0,17,2021
17225,10.0,17,2021
17228,9.0,17,2021
17230,10.0,17,2021
17240,19.0,17,2021
17264,8.0,17,2021
17274,7.0,17,2021
17283,17.0,17,2021
17291,7.0,17,2021
17297,8.0,17,2021
17299,20.0,17,2021
17300,18.0,17,2021
17306,14.0,17,2021
17308,9.0,17,2021
17333,12.0,17,2021
17337,15.0,17,2021
17347,20.0,17,2021
17349,7.0,17,2021
17351,13.0,17,2021
17360,8.0,17,2021
17380,8.0,17,2021
17385,12.0,17,2021
17397,15.0,17,2021
17407,7.0,17,2021
17409,7.0,17,2021
17414,7.0,17,2021
17415,17.0,17,2021
17421,12.0,17,2021
17425,9.0,17,2021
17434,15.0,17,2021
17449,12.0,17,2021
17452,12.0,17,2021
17461,8.0,17,2021
18015,14.0,18,2021
18018,15.0,18,2021
18033,20.0,18,2021
18087,13.0,18,2021
18096,10.0,18,2021
18108,18.0,18,2021
18141,11.0,18,2021
18197,20.0,18,2021
18205,9.0,18,2021
18207,15.0,18,2021
18213,12.0,18,2021
18223,10.0,18,2021
18242,22.0,18,2021
18267,5.0,18,2021
18279,24.0,18,2021
19005,10.0,19,2021
19010,16.0,19,2021
19028,18.0,19,2021
19031,18.0,19,2021
19072,9.0,19,2021
19073,20.0,19,2021
19121,14.0,19,2021
19123,9.0,19,2021
19136,16.0,19,2021
19153,13.0,19,2021
19229,11.0,19,2021
19272,17.0,19,2021
19274,6.0,19,2021
19275,14.0,19,2021
19276,15.0,19,2021
19278,11.0,19,2021
21038,15.0,21,2021
21054,14.0,21,2021
21154,22.0,21,2021
21166,28.0,21,2021
21171,10.0,21,2021
21231,17.0,21,2021
21278,6.0,21,2021
21292,11.0,21,2021
21295,9.0,21,2021
21317,11.0,21,2021
21355,16.0,21,2021
21390,8.0,21,2021
21425,19.0,21,2021
21452,9.0,21,2021
21464,10.0,21,2021
21485,12.0,21,2021
21515,14.0,21,2021
21540,7.0,21,2021
21584,16.0,21,2021
21599,10.0,21,2021
21603,17.0,21,2021
21607,13.0,21,2021
21617,17.0,21,2021
21663,20.0,21,2021
22004,12.0,22,2021
22013,14.0,22,2021
22020,12.0,22,2021
22025,21.0,22,2021
22032,11.0,22,2021
22046,14.0,22,2021
22048,11.0,22,2021
22050,16.0,22,2021
22054,8.0,22,2021
22055,8.0,22,2021
22067,12.0,22,2021
22070,28.0,22,2021
22079,10.0,22,2021
22081,6.0,22,2021
22084,11.0,22,2021
22093,9.0,22,2021
22106,9.0,22,2021
22113,14.0,22,2021
