periode,valeur,description,zone,id_serie,annee,trimestre
1950-Q2,1.71,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1950,2
1950-Q3,2.12,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1950,3
1950-Q4,1.17,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1950,4
1951-Q1,0.51,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1951,1
1951-Q2,1.64,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1951,2
1951-Q3,2.06,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1951,3
1951-Q4,2.31,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1951,4
1952-Q1,1.83,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1952,1
1952-Q2,-1.19,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1952,2
1952-Q3,0.98,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1952,3
1952-Q4,-0.5,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1952,4
1953-Q1,1.73,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1953,1
1953-Q2,1.53,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1953,2
1953-Q3,0.99,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1953,3
1953-Q4,0.78,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1953,4
1954-Q1,1.63,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1954,1
1954-Q2,1.58,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1954,2
1954-Q3,1.09,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1954,3
1954-Q4,0.7,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1954,4
1955-Q1,1.31,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1955,1
1955-Q2,1.94,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1955,2
1955-Q3,1.63,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1955,3
1955-Q4,1.72,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1955,4
1956-Q1,1.69,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1956,1
1956-Q2,2.33,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1956,2
1956-Q3,1.61,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1956,3
1956-Q4,1.87,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1956,4
1957-Q1,1.73,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1957,1
1957-Q2,0.61,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1957,2
1957-Q3,1.48,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1957,3
1957-Q4,-0.21,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1957,4
1958-Q1,1.28,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1958,1
1958-Q2,0.69,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1958,2
1958-Q3,-0.67,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1958,3
1958-Q4,-0.56,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1958,4
1959-Q1,-0.01,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1959,1
1959-Q2,0.79,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1959,2
1959-Q3,0.6,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1959,3
1959-Q4,2.7,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1959,4
1960-Q1,1.49,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1960,1
1960-Q2,2.25,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1960,2
1960-Q3,1.9,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1960,3
1960-Q4,1.07,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1960,4
1961-Q1,1.19,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1961,1
1961-Q2,0.8,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1961,2
1961-Q3,0.92,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1961,3
1961-Q4,2.26,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1961,4
1962-Q1,2.42,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1962,1
1962-Q2,1.05,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1962,2
1962-Q3,2.48,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1962,3
1962-Q4,0.99,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1962,4
1963-Q1,-1.1,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1963,1
1963-Q2,5.14,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1963,2
1963-Q3,3.21,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1963,3
1963-Q4,0.38,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1963,4
1964-Q1,2.29,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1964,1
1964-Q2,1.62,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1964,2
1964-Q3,0.8,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1964,3
1964-Q4,0.81,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1964,4
1965-Q1,-0.14,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1965,1
1965-Q2,1.85,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1965,2
1965-Q3,1.22,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1965,3
1965-Q4,1.39,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1965,4
1966-Q1,1.15,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1966,1
1966-Q2,1.71,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1966,2
1966-Q3,1.33,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1966,3
1966-Q4,1.21,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1966,4
1967-Q1,1.77,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1967,1
1967-Q2,0.57,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1967,2
1967-Q3,1.17,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1967,3
1967-Q4,0.74,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1967,4
1968-Q1,2.65,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1968,1
1968-Q2,-4.41,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1968,2
1968-Q3,7.23,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1968,3
1968-Q4,2.29,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1968,4
1969-Q1,1.02,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1969,1
1969-Q2,2.55,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1969,2
1969-Q3,0.79,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1969,3
1969-Q4,0.64,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1969,4
1970-Q1,1.07,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1970,1
1970-Q2,1.7,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1970,2
1970-Q3,1.38,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1970,3
1970-Q4,1.02,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1970,4
1971-Q1,0.98,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1971,1
1971-Q2,1.27,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1971,2
1971-Q3,1.45,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1971,3
1971-Q4,0.88,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1971,4
1972-Q1,1.77,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1972,1
1972-Q2,0.24,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1972,2
1972-Q3,1.6,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1972,3
1972-Q4,1.61,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1972,4
1973-Q1,2.26,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1973,1
1973-Q2,1.28,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1973,2
1973-Q3,1.86,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1973,3
1973-Q4,0.8,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1973,4
1974-Q1,1.37,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1974,1
1974-Q2,0.67,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1974,2
1974-Q3,0.5,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1974,3
1974-Q4,-2.74,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1974,4
1975-Q1,-1.47,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1975,1
1975-Q2,0.15,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1975,2
1975-Q3,0.22,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1975,3
1975-Q4,2.8,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1975,4
1976-Q1,1.64,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1976,1
1976-Q2,1.62,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1976,2
1976-Q3,1.73,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1976,3
1976-Q4,0.07,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1976,4
1977-Q1,0.73,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1977,1
1977-Q2,-0.01,Demande intérieure finale - Contribution à l'évolution du PIB - Volume aux prix de l'année précédente chaînés - Série CVS-CJO,FE,11794832,1977,2
