CODEGEO,NIVGEO,UNIT_label_fr,UNIT,STOCD,OBS_VALUE,STOCD_label,DATASET_VERSION,DATASET_NAME,DATA_DATE
01,DEP,Nombre de logements,NBLOG,ENS,274538.375368,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre de logements,NBLOG,10,171307.121971,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre de logements,NBLOG,21,54028.486208,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre de logements,NBLOG,22,39004.585669,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre de logements,NBLOG,23,5205.88373,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre de logements,NBLOG,30,4992.29779,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,ENS,634390.746502,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,10,416790.823221,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,21,109775.784792,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,22,89353.238998,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,23,8443.790311,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Population,POP,30,10027.109179,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre d'heures annuelles travaillées,DUREE,ENS,4051523.223507,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre d'heures annuelles travaillées,DUREE,10,3270256.500354,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre d'heures annuelles travaillées,DUREE,21,312603.734143,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre d'heures annuelles travaillées,DUREE,22,386411.867726,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
01,DEP,Nombre d'heures annuelles travaillées,DUREE,23,22387.481924,Statut d'occupation du logement,GEO2021RP2018,Recensement de la population,2018.0
