periode,population,description,zone,id_serie,annee
1975,34.5,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1975
1976,34.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1976
1977,33.8,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1977
1978,33.4,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1978
1979,33.0,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1979
1980,32.6,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1980
1981,32.3,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1981
1982,31.9,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1982
1983,31.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1983
1984,30.8,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1984
1985,30.4,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1985
1986,30.1,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1986
1987,29.9,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1987
1988,29.6,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1988
1989,29.3,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1989
1990,29.0,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1990
1991,28.5,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1991
1992,28.0,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1992
1993,27.6,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1993
1994,27.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1994
1995,26.8,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1995
1996,26.5,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1996
1997,26.1,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1997
1998,25.7,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1998
1999,25.4,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,1999
2000,25.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2000
2001,25.1,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2001
2002,25.1,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2002
2003,25.1,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2003
2004,25.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2004
2005,25.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2005
2006,24.9,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2006
2007,24.7,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2007
2008,24.7,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2008
2009,24.6,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2009
2010,24.6,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2010
2011,24.4,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2011
2012,24.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2012
2013,24.2,Estimations de population - Part des 0-24 ans - Dordogne,D24,1741255,2013
