periode,indice_prix,description,zone,id_serie,annee,trimestre
2000-Q1,47.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2000,1
2000-Q2,49.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2000,2
2000-Q3,50.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2000,3
2000-Q4,50.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2000,4
2001-Q1,51.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2001,1
2001-Q2,52.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2001,2
2001-Q3,54.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2001,3
2001-Q4,54.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2001,4
2002-Q1,55.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2002,1
2002-Q2,56.9,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2002,2
2002-Q3,59.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2002,3
2002-Q4,59.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2002,4
2003-Q1,61.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2003,1
2003-Q2,63.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2003,2
2003-Q3,66.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2003,3
2003-Q4,67.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2003,4
2004-Q1,69.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2004,1
2004-Q2,72.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2004,2
2004-Q3,75.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2004,3
2004-Q4,77.4,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2004,4
2005-Q1,79.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2005,1
2005-Q2,83.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2005,2
2005-Q3,87.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2005,3
2005-Q4,88.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2005,4
2006-Q1,90.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2006,1
2006-Q2,93.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2006,2
2006-Q3,96.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2006,3
2006-Q4,97.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2006,4
2007-Q1,98.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2007,1
2007-Q2,99.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2007,2
2007-Q3,102.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2007,3
2007-Q4,102.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2007,4
2008-Q1,102.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2008,1
2008-Q2,102.4,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2008,2
2008-Q3,102.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2008,3
2008-Q4,99.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2008,4
2009-Q1,95.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2009,1
2009-Q2,94.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2009,2
2009-Q3,95.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2009,3
2009-Q4,96.0,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2009,4
2010-Q1,96.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2010,1
2010-Q2,98.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2010,2
2010-Q3,101.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2010,3
2010-Q4,102.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2010,4
2011-Q1,103.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2011,1
2011-Q2,105.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2011,2
2011-Q3,107.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2011,3
2011-Q4,106.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2011,4
2012-Q1,104.9,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2012,1
2012-Q2,104.9,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2012,2
2012-Q3,105.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2012,3
2012-Q4,104.1,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2012,4
2013-Q1,102.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2013,1
2013-Q2,102.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2013,2
2013-Q3,103.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2013,3
2013-Q4,102.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2013,4
2014-Q1,101.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2014,1
2014-Q2,101.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2014,2
2014-Q3,102.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2014,3
2014-Q4,100.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2014,4
2015-Q1,99.4,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2015,1
2015-Q2,99.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2015,2
2015-Q3,100.9,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2015,3
2015-Q4,100.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2015,4
2016-Q1,99.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2016,1
2016-Q2,100.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2016,2
2016-Q3,102.4,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2016,3
2016-Q4,101.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2016,4
2017-Q1,102.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2017,1
2017-Q2,103.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2017,2
2017-Q3,105.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2017,3
2017-Q4,105.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2017,4
2018-Q1,105.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2018,1
2018-Q2,106.4,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2018,2
2018-Q3,108.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2018,3
2018-Q4,108.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2018,4
2019-Q1,108.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2019,1
2019-Q2,109.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2019,2
2019-Q3,112.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2019,3
2019-Q4,112.7,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2019,4
2020-Q1,113.9,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2020,1
2020-Q2,115.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2020,2
2020-Q3,117.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2020,3
2020-Q4,119.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2020,4
2021-Q1,120.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2021,1
2021-Q2,122.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2021,2
2021-Q3,126.2,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2021,3
2021-Q4,127.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2021,4
2022-Q1,128.6,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2022,1
2022-Q2,130.8,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2022,2
2022-Q3,134.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2022,3
2022-Q4,133.5,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2022,4
2023-Q1,132.3,Indice des prix des logements (neufs et anciens) – Brut – Base 100 en moyenne annuelle 2015,FM,10001868,2023,1
