code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
01001,346.0,895.0,25820.0,01,2021
01002,115.0,266.0,24480.0,01,2021
01004,6855.0,15092.0,21660.0,01,2021
01005,800.0,2028.0,24610.0,01,2021
01006,51.0,107.0,24210.0,01,2021
01007,1184.0,2874.0,24860.0,01,2021
01008,326.0,753.0,26300.0,01,2021
01009,157.0,380.0,24810.0,01,2021
01010,481.0,1122.0,24700.0,01,2021
01011,161.0,405.0,24530.0,01,2021
01012,144.0,324.0,24270.0,01,2021
01013,67.0,127.0,22180.0,01,2021
01014,1361.0,3438.0,22410.0,01,2021
01015,313.0,734.0,23800.0,01,2021
01016,187.0,473.0,23080.0,01,2021
01017,194.0,419.0,20790.0,01,2021
01021,565.0,1423.0,26430.0,01,2021
01022,574.0,1158.0,22000.0,01,2021
01024,1406.0,3395.0,24460.0,01,2021
01025,1628.0,4204.0,24880.0,01,2021
01026,434.0,942.0,22860.0,01,2021
01027,712.0,1899.0,25770.0,01,2021
01028,227.0,598.0,25520.0,01,2021
01029,274.0,652.0,21350.0,01,2021
01030,364.0,826.0,24240.0,01,2021
01031,1479.0,3238.0,20550.0,01,2021
01032,1184.0,3117.0,23060.0,01,2021
01033,6545.0,14862.0,23780.0,01,2021
01034,4073.0,8591.0,21180.0,01,2021
01035,145.0,321.0,26160.0,01,2021
01036,592.0,1302.0,23820.0,01,2021
01037,126.0,285.0,21770.0,01,2021
01038,321.0,776.0,24250.0,01,2021
01039,214.0,492.0,22130.0,01,2021
01040,195.0,516.0,23440.0,01,2021
01041,336.0,747.0,25150.0,01,2021
01042,126.0,305.0,25520.0,01,2021
01043,1963.0,5041.0,28730.0,01,2021
01044,276.0,616.0,28550.0,01,2021
01045,106.0,278.0,28180.0,01,2021
01046,354.0,873.0,24260.0,01,2021
01047,484.0,1277.0,27110.0,01,2021
01049,1279.0,3396.0,26780.0,01,2021
01050,136.0,359.0,23180.0,01,2021
01052,126.0,316.0,27630.0,01,2021
01053,18870.0,37019.0,20210.0,01,2021
01054,573.0,1571.0,27320.0,01,2021
01056,150.0,343.0,21640.0,01,2021
01057,204.0,468.0,24300.0,01,2021
01058,344.0,801.0,23420.0,01,2021
01060,244.0,548.0,24970.0,01,2021
01061,460.0,1183.0,25110.0,01,2021
01062,374.0,988.0,28710.0,01,2021
01063,246.0,574.0,25400.0,01,2021
01064,470.0,1135.0,23440.0,01,2021
01065,794.0,1985.0,26810.0,01,2021
01067,103.0,245.0,25900.0,01,2021
01068,334.0,734.0,21410.0,01,2021
01069,671.0,1583.0,25570.0,01,2021
01071,1961.0,4845.0,42540.0,01,2021
01072,1392.0,3231.0,25320.0,01,2021
01073,457.0,1045.0,25250.0,01,2021
01074,1029.0,2423.0,23720.0,01,2021
01075,555.0,1462.0,24890.0,01,2021
01076,86.0,150.0,21070.0,01,2021
01077,92.0,184.0,24620.0,01,2021
01078,561.0,1340.0,44460.0,01,2021
01079,308.0,677.0,22770.0,01,2021
01080,281.0,630.0,23720.0,01,2021
01081,322.0,726.0,27400.0,01,2021
01082,215.0,492.0,27880.0,01,2021
01083,384.0,992.0,25580.0,01,2021
01084,342.0,909.0,24050.0,01,2021
01085,151.0,396.0,26330.0,01,2021
01087,118.0,281.0,27320.0,01,2021
01088,380.0,975.0,28140.0,01,2021
01089,896.0,2353.0,25170.0,01,2021
01090,154.0,368.0,24090.0,01,2021
01092,674.0,1650.0,25470.0,01,2021
01093,2349.0,4775.0,23430.0,01,2021
01094,320.0,756.0,23460.0,01,2021
01095,343.0,772.0,23260.0,01,2021
01096,410.0,1083.0,23940.0,01,2021
01098,460.0,1133.0,22520.0,01,2021
01099,674.0,1601.0,26780.0,01,2021
01100,74.0,129.0,21090.0,01,2021
01101,71.0,163.0,26800.0,01,2021
01102,399.0,1021.0,23750.0,01,2021
01103,769.0,1952.0,44010.0,01,2021
01104,196.0,428.0,25230.0,01,2021
01105,728.0,1964.0,28920.0,01,2021
01106,75.0,166.0,23440.0,01,2021
01107,64.0,138.0,22370.0,01,2021
01108,554.0,1185.0,23750.0,01,2021
01109,814.0,2144.0,33820.0,01,2021
01110,69.0,155.0,20800.0,01,2021
01111,62.0,134.0,21730.0,01,2021
01112,167.0,451.0,25520.0,01,2021
01113,345.0,842.0,23170.0,01,2021
01114,238.0,587.0,30140.0,01,2021
01115,562.0,1373.0,24350.0,01,2021
01116,212.0,474.0,23210.0,01,2021
01117,59.0,149.0,22900.0,01,2021
01118,454.0,1037.0,27120.0,01,2021
01121,45.0,106.0,24470.0,01,2021
01123,462.0,1208.0,25480.0,01,2021
01124,314.0,732.0,23440.0,01,2021
01125,278.0,633.0,24010.0,01,2021
01127,228.0,510.0,24080.0,01,2021
01128,134.0,297.0,22520.0,01,2021
01129,123.0,323.0,26820.0,01,2021
01130,938.0,2433.0,24120.0,01,2021
01133,169.0,400.0,23660.0,01,2021
01134,754.0,1856.0,24310.0,01,2021
01135,796.0,2072.0,44040.0,01,2021
01136,376.0,991.0,25850.0,01,2021
01138,1260.0,2671.0,21560.0,01,2021
