periode,revenu,description,zone,id_serie,annee
2012,18974.0,Revenu disponible par unité de consommation : Médiane - Cher,D18,1741916,2012
2013,19441.0,Revenu disponible par unité de consommation : Médiane - Cher,D18,1741916,2013
2014,19617.0,Revenu disponible par unité de consommation : Médiane - Cher,D18,1741916,2014
2015,19772.0,Revenu disponible par unité de consommation : Médiane - Cher,D18,1741916,2015
2012,18880.0,Revenu disponible par unité de consommation : Médiane - Corrèze,D19,1741917,2012
2013,19346.0,Revenu disponible par unité de consommation : Médiane - Corrèze,D19,1741917,2013
2014,19537.0,Revenu disponible par unité de consommation : Médiane - Corrèze,D19,1741917,2014
2015,19903.0,Revenu disponible par unité de consommation : Médiane - Corrèze,D19,1741917,2015
2012,20310.0,Revenu disponible par unité de consommation : Médiane - Eure-et-Loir,D28,1741918,2012
2013,20716.0,Revenu disponible par unité de consommation : Médiane - Eure-et-Loir,D28,1741918,2013
2014,20829.0,Revenu disponible par unité de consommation : Médiane - Eure-et-Loir,D28,1741918,2014
2015,20961.0,Revenu disponible par unité de consommation : Médiane - Eure-et-Loir,D28,1741918,2015
2012,19068.0,Revenu disponible par unité de consommation : Médiane - Corse-du-Sud,D2A,1741919,2012
2013,19491.0,Revenu disponible par unité de consommation : Médiane - Corse-du-Sud,D2A,1741919,2013
2014,19732.0,Revenu disponible par unité de consommation : Médiane - Corse-du-Sud,D2A,1741919,2014
2015,20073.0,Revenu disponible par unité de consommation : Médiane - Corse-du-Sud,D2A,1741919,2015
2012,17613.0,Revenu disponible par unité de consommation : Médiane - Haute-Corse,D2B,1741920,2012
2013,17993.0,Revenu disponible par unité de consommation : Médiane - Haute-Corse,D2B,1741920,2013
2014,18200.0,Revenu disponible par unité de consommation : Médiane - Haute-Corse,D2B,1741920,2014
2015,18530.0,Revenu disponible par unité de consommation : Médiane - Haute-Corse,D2B,1741920,2015
2012,20462.0,Revenu disponible par unité de consommation : Médiane - Côte-d'Or,D21,1741921,2012
2013,20855.0,Revenu disponible par unité de consommation : Médiane - Côte-d'Or,D21,1741921,2013
2014,21035.0,Revenu disponible par unité de consommation : Médiane - Côte-d'Or,D21,1741921,2014
2015,21224.0,Revenu disponible par unité de consommation : Médiane - Côte-d'Or,D21,1741921,2015
2012,19341.0,Revenu disponible par unité de consommation : Médiane - Côtes-d'Armor,D22,1741922,2012
2013,19844.0,Revenu disponible par unité de consommation : Médiane - Côtes-d'Armor,D22,1741922,2013
2014,20019.0,Revenu disponible par unité de consommation : Médiane - Côtes-d'Armor,D22,1741922,2014
2015,20064.0,Revenu disponible par unité de consommation : Médiane - Côtes-d'Armor,D22,1741922,2015
2012,17301.0,Revenu disponible par unité de consommation : Médiane - Creuse,D23,1741923,2012
2013,17746.0,Revenu disponible par unité de consommation : Médiane - Creuse,D23,1741923,2013
2014,17984.0,Revenu disponible par unité de consommation : Médiane - Creuse,D23,1741923,2014
2015,18354.0,Revenu disponible par unité de consommation : Médiane - Creuse,D23,1741923,2015
2012,18264.0,Revenu disponible par unité de consommation : Médiane - Dordogne,D24,1741924,2012
2013,18756.0,Revenu disponible par unité de consommation : Médiane - Dordogne,D24,1741924,2013
2014,18971.0,Revenu disponible par unité de consommation : Médiane - Dordogne,D24,1741924,2014
2015,19065.0,Revenu disponible par unité de consommation : Médiane - Dordogne,D24,1741924,2015
2012,20227.0,Revenu disponible par unité de consommation : Médiane - Doubs,D25,1741925,2012
2013,20644.0,Revenu disponible par unité de consommation : Médiane - Doubs,D25,1741925,2013
2014,20924.0,Revenu disponible par unité de consommation : Médiane - Doubs,D25,1741925,2014
2015,21325.0,Revenu disponible par unité de consommation : Médiane - Doubs,D25,1741925,2015
2012,18931.0,Revenu disponible par unité de consommation : Médiane - Drôme,D26,1741926,2012
2013,19391.0,Revenu disponible par unité de consommation : Médiane - Drôme,D26,1741926,2013
2014,19569.0,Revenu disponible par unité de consommation : Médiane - Drôme,D26,1741926,2014
2015,19843.0,Revenu disponible par unité de consommation : Médiane - Drôme,D26,1741926,2015
2012,19841.0,Revenu disponible par unité de consommation : Médiane - Eure,D27,1741927,2012
2013,20288.0,Revenu disponible par unité de consommation : Médiane - Eure,D27,1741927,2013
2014,20445.0,Revenu disponible par unité de consommation : Médiane - Eure,D27,1741927,2014
2015,20554.0,Revenu disponible par unité de consommation : Médiane - Eure,D27,1741927,2015
2012,19749.0,Revenu disponible par unité de consommation : Médiane - Finistère,D29,1741928,2012
2013,20267.0,Revenu disponible par unité de consommation : Médiane - Finistère,D29,1741928,2013
2014,20471.0,Revenu disponible par unité de consommation : Médiane - Finistère,D29,1741928,2014
2015,20481.0,Revenu disponible par unité de consommation : Médiane - Finistère,D29,1741928,2015
2012,18020.0,Revenu disponible par unité de consommation : Médiane - Gard,D30,1741929,2012
2013,18420.0,Revenu disponible par unité de consommation : Médiane - Gard,D30,1741929,2013
2014,18603.0,Revenu disponible par unité de consommation : Médiane - Gard,D30,1741929,2014
2015,18946.0,Revenu disponible par unité de consommation : Médiane - Gard,D30,1741929,2015
2012,21475.0,Revenu disponible par unité de consommation : Médiane - Haute-Garonne,D31,1741930,2012
2013,21792.0,Revenu disponible par unité de consommation : Médiane - Haute-Garonne,D31,1741930,2013
2014,21975.0,Revenu disponible par unité de consommation : Médiane - Haute-Garonne,D31,1741930,2014
2015,21989.0,Revenu disponible par unité de consommation : Médiane - Haute-Garonne,D31,1741930,2015
2012,19067.0,Revenu disponible par unité de consommation : Médiane - Gers,D32,1741931,2012
2013,19487.0,Revenu disponible par unité de consommation : Médiane - Gers,D32,1741931,2013
2014,19501.0,Revenu disponible par unité de consommation : Médiane - Gers,D32,1741931,2014
2015,19687.0,Revenu disponible par unité de consommation : Médiane - Gers,D32,1741931,2015
2012,20388.0,Revenu disponible par unité de consommation : Médiane - Gironde,D33,1741932,2012
2013,20801.0,Revenu disponible par unité de consommation : Médiane - Gironde,D33,1741932,2013
2014,20979.0,Revenu disponible par unité de consommation : Médiane - Gironde,D33,1741932,2014
2015,21073.0,Revenu disponible par unité de consommation : Médiane - Gironde,D33,1741932,2015
2012,18412.0,Revenu disponible par unité de consommation : Médiane - Hérault,D34,1741933,2012
2013,18765.0,Revenu disponible par unité de consommation : Médiane - Hérault,D34,1741933,2013
2014,18974.0,Revenu disponible par unité de consommation : Médiane - Hérault,D34,1741933,2014
2015,19319.0,Revenu disponible par unité de consommation : Médiane - Hérault,D34,1741933,2015
2012,20280.0,Revenu disponible par unité de consommation : Médiane - Ille-et-Vilaine,D35,1741934,2012
2013,20688.0,Revenu disponible par unité de consommation : Médiane - Ille-et-Vilaine,D35,1741934,2013
2014,20885.0,Revenu disponible par unité de consommation : Médiane - Ille-et-Vilaine,D35,1741934,2014
2015,20926.0,Revenu disponible par unité de consommation : Médiane - Ille-et-Vilaine,D35,1741934,2015
2012,18788.0,Revenu disponible par unité de consommation : Médiane - Lot,D46,1741945,2012
2013,19262.0,Revenu disponible par unité de consommation : Médiane - Lot,D46,1741945,2013
2014,19506.0,Revenu disponible par unité de consommation : Médiane - Lot,D46,1741945,2014
2015,19665.0,Revenu disponible par unité de consommation : Médiane - Lot,D46,1741945,2015
2012,18337.0,Revenu disponible par unité de consommation : Médiane - Lozère,D48,1741947,2012
2013,18788.0,Revenu disponible par unité de consommation : Médiane - Lozère,D48,1741947,2013
2014,19110.0,Revenu disponible par unité de consommation : Médiane - Lozère,D48,1741947,2014
2015,19346.0,Revenu disponible par unité de consommation : Médiane - Lozère,D48,1741947,2015
2012,19017.0,Revenu disponible par unité de consommation : Médiane - Maine-et-Loire,D49,1741948,2012
2013,19480.0,Revenu disponible par unité de consommation : Médiane - Maine-et-Loire,D49,1741948,2013
2014,19687.0,Revenu disponible par unité de consommation : Médiane - Maine-et-Loire,D49,1741948,2014
2015,19941.0,Revenu disponible par unité de consommation : Médiane - Maine-et-Loire,D49,1741948,2015
2012,18669.0,Revenu disponible par unité de consommation : Médiane - Manche,D50,1741949,2012
2013,19249.0,Revenu disponible par unité de consommation : Médiane - Manche,D50,1741949,2013
2014,19548.0,Revenu disponible par unité de consommation : Médiane - Manche,D50,1741949,2014
2015,19758.0,Revenu disponible par unité de consommation : Médiane - Manche,D50,1741949,2015
2012,19747.0,Revenu disponible par unité de consommation : Médiane - Marne,D51,1741950,2012
2013,20153.0,Revenu disponible par unité de consommation : Médiane - Marne,D51,1741950,2013
2014,20314.0,Revenu disponible par unité de consommation : Médiane - Marne,D51,1741950,2014
2015,20549.0,Revenu disponible par unité de consommation : Médiane - Marne,D51,1741950,2015
2012,18181.0,Revenu disponible par unité de consommation : Médiane - Haute-Marne,D52,1741951,2012
2013,18718.0,Revenu disponible par unité de consommation : Médiane - Haute-Marne,D52,1741951,2013
2014,18887.0,Revenu disponible par unité de consommation : Médiane - Haute-Marne,D52,1741951,2014
2015,19091.0,Revenu disponible par unité de consommation : Médiane - Haute-Marne,D52,1741951,2015
2012,18789.0,Revenu disponible par unité de consommation : Médiane - Mayenne,D53,1741952,2012
2013,19295.0,Revenu disponible par unité de consommation : Médiane - Mayenne,D53,1741952,2013
2014,19531.0,Revenu disponible par unité de consommation : Médiane - Mayenne,D53,1741952,2014
2015,19687.0,Revenu disponible par unité de consommation : Médiane - Mayenne,D53,1741952,2015
2012,19619.0,Revenu disponible par unité de consommation : Médiane - Meurthe-et-Moselle,D54,1741953,2012
2013,20206.0,Revenu disponible par unité de consommation : Médiane - Meurthe-et-Moselle,D54,1741953,2013
2014,20398.0,Revenu disponible par unité de consommation : Médiane - Meurthe-et-Moselle,D54,1741953,2014
2015,20502.0,Revenu disponible par unité de consommation : Médiane - Meurthe-et-Moselle,D54,1741953,2015
2012,18608.0,Revenu disponible par unité de consommation : Médiane - Meuse,D55,1741954,2012
2013,19151.0,Revenu disponible par unité de consommation : Médiane - Meuse,D55,1741954,2013
2014,19343.0,Revenu disponible par unité de consommation : Médiane - Meuse,D55,1741954,2014
2015,19453.0,Revenu disponible par unité de consommation : Médiane - Meuse,D55,1741954,2015
2012,19609.0,Revenu disponible par unité de consommation : Médiane - Morbihan,D56,1741955,2012
2013,20118.0,Revenu disponible par unité de consommation : Médiane - Morbihan,D56,1741955,2013
2014,20302.0,Revenu disponible par unité de consommation : Médiane - Morbihan,D56,1741955,2014
2015,20359.0,Revenu disponible par unité de consommation : Médiane - Morbihan,D56,1741955,2015
2012,19494.0,Revenu disponible par unité de consommation : Médiane - Moselle,D57,1741956,2012
2013,20149.0,Revenu disponible par unité de consommation : Médiane - Moselle,D57,1741956,2013
2014,20403.0,Revenu disponible par unité de consommation : Médiane - Moselle,D57,1741956,2014
2015,20498.0,Revenu disponible par unité de consommation : Médiane - Moselle,D57,1741956,2015
2012,18413.0,Revenu disponible par unité de consommation : Médiane - Nièvre,D58,1741957,2012
2013,18971.0,Revenu disponible par unité de consommation : Médiane - Nièvre,D58,1741957,2013
2014,19181.0,Revenu disponible par unité de consommation : Médiane - Nièvre,D58,1741957,2014
2015,19359.0,Revenu disponible par unité de consommation : Médiane - Nièvre,D58,1741957,2015
2012,18051.0,Revenu disponible par unité de consommation : Médiane - Nord,D59,1741958,2012
2013,18575.0,Revenu disponible par unité de consommation : Médiane - Nord,D59,1741958,2013
2014,18740.0,Revenu disponible par unité de consommation : Médiane - Nord,D59,1741958,2014
2015,18920.0,Revenu disponible par unité de consommation : Médiane - Nord,D59,1741958,2015
2012,20216.0,Revenu disponible par unité de consommation : Médiane - Oise,D60,1741959,2012
2013,20633.0,Revenu disponible par unité de consommation : Médiane - Oise,D60,1741959,2013
2014,20805.0,Revenu disponible par unité de consommation : Médiane - Oise,D60,1741959,2014
2015,20956.0,Revenu disponible par unité de consommation : Médiane - Oise,D60,1741959,2015
2012,18198.0,Revenu disponible par unité de consommation : Médiane - Orne,D61,1741960,2012
2013,18684.0,Revenu disponible par unité de consommation : Médiane - Orne,D61,1741960,2013
2014,18864.0,Revenu disponible par unité de consommation : Médiane - Orne,D61,1741960,2014
2015,19060.0,Revenu disponible par unité de consommation : Médiane - Orne,D61,1741960,2015
2012,17155.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2012
2013,17706.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2013
2014,17894.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2014
2015,18099.0,Revenu disponible par unité de consommation : Médiane - Pas-de-Calais,D62,1741961,2015
2012,20015.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2012
2013,20491.0,Revenu disponible par unité de consommation : Médiane - Puy-de-Dôme,D63,1741962,2013
